A,B,C,D,E,F,G,H,Year,R2,RMSE,AIC,Country
0.0006345748178219904,0.02145880436503649,0.10438812440247704,0.0006128837084836571,9.16290272195737,20.927459802837582,3.3353690721514765e-05,1.09964543330202,1989,0.997717316489198,0.0012567102414365488,-295.1518468654147,CAN
0.0005347539673730717,0.010340523435380927,0.09047000136163244,0.0005173434854224881,7.9135454767577675,21.11844640232099,3.3894079344403577e-05,1.098855277997472,1990,0.9982205664727486,0.0009673257056396246,-316.35095679924956,CAN
0.0004923858151510255,0.014116230069810526,0.09588714868529803,0.0005734469361281329,7.353772815095402,21.342088321323196,3.062038302087741e-05,1.1003693893068536,1991,0.9975664342523227,0.0013594810521404294,-288.7847883612131,CAN
0.00043705529865762933,0.00659751598938097,0.08241194008149376,0.0005146967332422948,7.745408074337911,21.834274416535727,3.221121133154355e-05,1.0991331934113968,1992,0.9972381305968,0.0015247535202038915,-279.4916807754426,CAN
0.0004975542110196913,0.022226421630191562,0.10579073337663472,0.0005130339833745675,6.714918254297224,22.061894901382452,3.243585024499256e-05,1.0991653083594644,1993,0.996326954658569,0.002092681945395878,-253.84597108309578,CAN
0.00048065003780689455,0.01749751398238246,0.10095380628007831,0.0004743308546962618,7.081444373694363,21.200698012741732,3.322781042045236e-05,1.0984295391104861,1994,0.9979408711583398,0.0011577894382841525,-301.792620256569,CAN
0.00036522172999616653,0.004706167653007125,0.08170385223364705,0.00047150917166684247,6.236286737853409,22.12583374908702,3.176756030546125e-05,1.0989088593495044,1995,0.998442545479179,0.0008759232007089492,-324.3907610657164,CAN
0.00043774864955549144,0.02081869043186809,0.10199621201197469,0.000456544841534733,8.492699147736866,21.58693293055314,3.232665871411336e-05,1.098369019401523,1996,0.9974417351525616,0.0014854476481610988,-281.6071251728419,CAN
0.0004135471702841077,0.011632966333359885,0.08944784278257013,0.00043903023303299213,8.441625585014322,20.47364692229936,2.9790999410342127e-05,1.0992656128014104,1997,0.9973914364127373,0.0014817666797272916,-281.8080938681513,CAN
0.0003779025243504078,0.012868257457143133,0.09298819580094954,0.0004534632584530271,8.775761113902984,21.255204059312785,2.7554059895670655e-05,1.100273881679618,1998,0.9981469689527404,0.0010910580202231341,-306.6011564354107,CAN
0.0004033233537364991,0.01876795566933807,0.0997293518047335,0.0004489380577607615,10.385445962092716,20.760448265856443,2.9805141201054382e-05,1.0985287995578914,1999,0.9974473895800107,0.0014902948582299254,-281.34324188187344,CAN
0.0003154745746544507,0.012955780156003927,0.09748174523808739,0.0004520087005244379,9.31233380866975,20.553529120010893,2.7204564179375112e-05,1.0996580666757851,2000,0.9976577140661171,0.0014130963684122848,-285.6516877029873,CAN
0.00036903114570360757,0.019406759693131617,0.10385820478728805,0.000427590608948754,9.33001993445675,20.83405599994316,2.7381185194821475e-05,1.0990678584152869,2001,0.9981906972711844,0.0010725948854639054,-307.9835872430586,CAN
0.000354305683744679,0.017448496718746535,0.10325954274285608,0.00038910501216306444,9.395597970927815,20.43320554164036,2.7610164611063023e-05,1.0987155923399468,2002,0.9983837143645343,0.0009641303557110459,-316.6189655678914,CAN
0.00037282036166773303,0.03291548697113422,0.12010758990793237,0.0004311316518813457,10.924214971612312,20.63712489777179,2.85716867467799e-05,1.0978525032524207,2003,0.9980915490658977,0.0011583058097205535,-301.75650249580116,CAN
0.0003471296661430821,0.02926028887109953,0.117912633656166,0.0004226328362215399,10.566029358943824,21.084734157178072,2.6503084240519054e-05,1.0986534482801373,2004,0.9983586192585352,0.0010089070836158441,-312.94185560603233,CAN
0.0003235408165089525,0.01838189891409154,0.10825434906724905,0.0004155549745202045,8.384661304868553,21.124431754025256,2.7019345077481607e-05,1.097994553795974,2005,0.9981090183717516,0.0011199142585517421,-304.486712889923,CAN
0.0003173935218783513,0.02090697271077531,0.10916798929097285,0.0004211431599120388,10.819725193216874,20.840542833059814,2.817140614341852e-05,1.096663549161527,2006,0.9983536071217888,0.0009722108713400804,-315.94292194885696,CAN
0.00029784529857172277,0.013817649008157337,0.1014865896493694,0.0004080451191706767,10.541053144472883,20.97329128516492,2.674947083591109e-05,1.09751535617851,2007,0.9981928801047198,0.0010732365422019732,-307.9351452297089,CAN
0.00029220223399219555,0.015570682628774445,0.10412999512481226,0.0003804820816575756,9.947359317903565,21.237035500124403,2.6283496808338936e-05,1.0975230624543886,2008,0.9976969411302824,0.001380922130880262,-287.5172647877185,CAN
0.0002670644413491824,0.016831968196495756,0.10715382102001192,0.00037595068652702615,10.144964200320924,21.566303367223128,2.6424353572547352e-05,1.0968901400995659,2009,0.9956670915460637,0.00263200386806418,-235.2727510880058,CAN
